com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
6330,4,0,10,2021-02-25 09:05:00.000,230002,,2021-02-25 09:15:06.184,2021-02-25 09:15:06.183,10,1.1388888,7.21,0.38,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 09:05:59.999,018056ba-7b95-91b0-b503-b1f03b170fab,
55470,4,0,108,2021-02-25 11:39:00.000,,,2021-02-25 11:44:10.777,2021-02-25 11:44:10.777,108,1.5100274,83.76172,3.9318848,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 11:40:00.000,cc056a40-42dc-4093-976d-e2dec4945f0a,
28361,4,0,22,2021-02-26 09:15:00.000,,,2021-02-26 09:15:43.007,2021-02-26 09:15:32.044,22,0.57282543,16.246094,0.8232422,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 09:16:00.000,4c776ca4-a217-4931-a1b4-5232f5dd0251,
5836,4,0,13,2021-02-26 08:46:00.000,230002,,2021-02-26 08:47:01.336,2021-02-26 08:46:43.412,13,1.8798534,10.972,0.63,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 08:46:59.999,6975ee72-2511-9d09-61eb-b3977173aa25,
13541,4,0,24,2021-02-26 07:26:00.000,,,2021-02-26 07:27:42.185,2021-02-26 07:27:42.185,24,1.3226218,17.910156,0.89331055,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 07:27:00.000,fa8753b2-83da-4aee-85e7-89ac3e55db27,
57853,4,156,0,2021-02-25 12:06:00.000,230002,,2021-02-25 12:07:02.785,2021-02-25 12:06:04.375,156,2.4643087,142.57,10.92,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 12:06:59.999,81ca2227-8a67-71bc-4064-bf46e8381fb8,
9863,4,0,12,2021-02-25 11:45:00.000,,,2021-02-25 11:45:39.482,2021-02-25 11:45:39.482,12,0.904743,8.923828,0.4468994,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 11:46:00.000,711cb3ec-0e08-4ee5-8d30-69cb469e338b,
6939,4,0,12,2021-02-26 08:27:00.000,230002,,2021-02-26 08:29:19.342,2021-02-26 08:29:19.342,12,1.3055556,9.06,0.43,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 08:27:59.999,caf81938-c6ad-63ad-e9a2-769dd001fa22,
57561,4,157,0,2021-02-25 12:16:00.000,230002,,2021-02-25 12:17:07.403,2021-02-25 12:16:06.099,157,2.53472,145.902,11.109,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 12:16:59.999,d087d3d7-37fd-eec3-fb08-d28de24d4c0d,
18139,4,0,31,2021-02-25 11:32:00.000,,,2021-02-25 11:32:40.669,2021-02-25 11:32:40.669,31,1.2967168,23.521484,1.1391602,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 11:33:00.000,cf066ebc-1ced-4aab-b23c-4f3c15dbb2dd,
8227,4,0,20,2021-02-26 07:38:00.000,230002,,2021-02-26 07:38:19.569,2021-02-26 07:38:19.569,20,2.0833333,17.14,0.7,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 07:38:59.999,18a405da-2378-e433-3576-fcf86f3dcba1,
56480,4,0,109,2021-02-25 11:20:00.000,,,2021-02-25 11:22:31.952,2021-02-25 11:20:03.015,109,1.5103176,85.302734,3.9592285,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 11:21:00.000,2defbb21-bbb2-4b46-aee2-d674e81a56af,
24230,4,0,45,2021-02-25 12:01:00.000,230002,,2021-02-25 12:02:14.321,2021-02-25 12:02:14.320,45,1.4444444,35.0,1.68,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 12:01:59.999,a14c81cc-304b-6d87-8cf3-a069e795a30c,
58619,4,160,0,2021-02-25 12:08:00.000,230002,,2021-02-25 12:09:10.615,2021-02-25 12:08:01.397,160,2.535918,148.653,11.2,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 12:08:59.999,3b5f1477-0930-0e65-9008-bd1a0f546296,
30455,4,0,72,2021-02-26 07:39:00.000,,,2021-02-26 07:41:34.687,2021-02-26 07:41:34.687,72,1.8811734,57.29297,2.60083,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 07:40:00.000,a2d55864-4603-4e8f-ad19-9c8cbcce7c91,
58324,4,0,110,2021-02-25 11:38:00.000,,,2021-02-25 11:44:10.720,2021-02-25 11:44:10.720,110,1.4735987,85.947266,3.9986572,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 11:39:00.000,dce14bfd-2123-4d7a-ba3b-23384cbf0f36,
60000,4,0,112,2021-02-25 12:46:00.000,230002,,2021-02-25 12:49:17.283,2021-02-25 12:49:17.282,112,1.4473333,86.84,3.93,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 12:46:59.999,d017636b-d958-248a-4758-077d8d17db28,
1935,4,5,0,2021-02-26 08:42:00.000,230002,,2021-02-26 08:42:57.288,2021-02-26 08:42:57.288,5,2.3611112,4.57,0.35,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 08:42:59.999,caa6a3d8-968b-a5c1-72c3-1fe035b4733b,
52879,4,0,110,2021-02-25 11:40:00.000,,,2021-02-25 11:44:10.813,2021-02-25 11:44:10.813,110,1.6193887,85.63281,4.001343,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 11:41:00.000,9372795c-5c8d-4808-9467-19dd37e2c7b7,
55265,4,0,88,2021-02-25 11:31:00.000,230002,,2021-02-25 11:32:29.403,2021-02-25 11:31:24.477,88,1.1853372,65.508,3.3,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 11:31:59.999,9ab27299-4731-5cee-810f-50abbdbda6e7,
7773,4,0,10,2021-02-26 07:12:00.000,230002,,2021-02-26 07:12:36.330,2021-02-26 07:12:36.330,10,0.8888889,6.91,0.4,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 07:12:59.999,af0f105d-7df2-b34c-bcbf-40a773c835c6,
6637,4,0,12,2021-02-25 16:31:00.000,230002,,2021-02-25 16:32:30.317,2021-02-25 16:32:30.316,12,1.3333334,8.85,0.4,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 16:31:59.999,bc1744bf-b59c-a177-3a65-43dbb7728d59,
51266,4,0,98,2021-02-25 12:47:00.000,230002,,2021-02-25 12:49:17.289,2021-02-25 12:49:17.289,98,1.5,76.9,3.58,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 12:47:59.999,6dff4191-7fad-43ee-76c6-475de602925e,
32661,4,0,73,2021-02-25 11:18:00.000,230002,,2021-02-25 11:25:20.495,2021-02-25 11:18:51.603,73,1.4122959,46.127,2.691,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 11:18:59.999,de5714ed-55b0-9dc2-9e7d-0c964cda222d,
